timestamp,key,input_ch_powers,total_input_power,total_output_power,total_gain,output_ch_powers
2024-12-06 09:30:57.065906,g20.0_s0_r1,"[-19.876638412475586, -1000.0, -19.942119598388672, -1000.0, -20.030168533325195, -1000.0, -19.855323791503906, -1000.0, -1000.0, -19.852916717529297, -1000.0, -1000.0, -19.721921920776367, -1000.0, -19.83541488647461, -1000.0, -19.889476776123047, -1000.0, -1000.0, -1000.0, -19.955142974853516, -1000.0, -1000.0, -1000.0, -19.81631088256836, -1000.0, -19.594980239868164, -1000.0, -1000.0, -1000.0, -19.584901809692383, -1000.0, -19.684329986572266, -1000.0, -19.62397003173828, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -19.489147186279297, -1000.0, -19.760608673095703, -1000.0, -19.63121223449707, -1000.0, -1000.0, -1000.0, -19.69060516357422, -1000.0, -19.668853759765625, -1000.0, -1000.0, -1000.0, -1000.0, -19.53875160217285, -1000.0, -19.60527992248535, -1000.0, -19.72178840637207, -1000.0, -19.755958557128906, -1000.0, -19.818836212158203, -1000.0, -19.433002471923828, -1000.0, -19.787094116210938, -1000.0, -19.549421310424805, -1000.0, -19.40822410583496, -1000.0, -19.907663345336914, -1000.0, -19.959365844726562, -1000.0, -20.094066619873047]",-3.6,16.5,20.1,"[0.1, -inf, -0.01, -inf, -0.05, -inf, -0.4, -inf, -inf, -0.41, -inf, -inf, -0.93, -inf, -0.57, -inf, -0.88, -inf, -inf, -inf, -0.83, -inf, -inf, -inf, -0.77, -inf, -0.1, -inf, -inf, -inf, -0.15, -inf, 0.02, -inf, 0.05, -inf, -inf, -inf, -inf, -inf, -inf, -inf, -0.06, -inf, -0.2, -inf, 0.27, -inf, -inf, -inf, 0.37, -inf, -0.03, -inf, -inf, -inf, -inf, 0.3, -inf, 0.29, -inf, -0.58, -inf, -0.8, -inf, 0.19, -inf, -0.41, -inf, 0.23, -inf, -0.37, -inf, 0.31, -inf, 0.2, -inf, 0.04, -inf, 0.17]"
2024-12-06 09:30:57.068173,g21.5_s0_r1,"[-19.876638412475586, -1000.0, -19.942119598388672, -1000.0, -20.030168533325195, -1000.0, -19.855323791503906, -1000.0, -1000.0, -19.852916717529297, -1000.0, -1000.0, -19.721921920776367, -1000.0, -19.83541488647461, -1000.0, -19.889476776123047, -1000.0, -1000.0, -1000.0, -19.955142974853516, -1000.0, -1000.0, -1000.0, -19.81631088256836, -1000.0, -19.594980239868164, -1000.0, -1000.0, -1000.0, -19.584901809692383, -1000.0, -19.684329986572266, -1000.0, -19.62397003173828, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -19.489147186279297, -1000.0, -19.760608673095703, -1000.0, -19.63121223449707, -1000.0, -1000.0, -1000.0, -19.69060516357422, -1000.0, -19.668853759765625, -1000.0, -1000.0, -1000.0, -1000.0, -19.53875160217285, -1000.0, -19.60527992248535, -1000.0, -19.72178840637207, -1000.0, -19.755958557128906, -1000.0, -19.818836212158203, -1000.0, -19.433002471923828, -1000.0, -19.787094116210938, -1000.0, -19.549421310424805, -1000.0, -19.40822410583496, -1000.0, -19.907663345336914, -1000.0, -19.959365844726562, -1000.0, -20.094066619873047]",-3.6,18.0,21.6,"[1.67, -inf, 1.49, -inf, 1.53, -inf, 1.17, -inf, -inf, 1.12, -inf, -inf, 0.52, -inf, 0.89, -inf, 0.65, -inf, -inf, -inf, 0.69, -inf, -inf, -inf, 0.75, -inf, 1.41, -inf, -inf, -inf, 1.37, -inf, 1.55, -inf, 1.54, -inf, -inf, -inf, -inf, -inf, -inf, -inf, 1.41, -inf, 1.3, -inf, 1.79, -inf, -inf, -inf, 1.85, -inf, 1.48, -inf, -inf, -inf, -inf, 1.81, -inf, 1.8, -inf, 0.87, -inf, 0.67, -inf, 1.63, -inf, 1.07, -inf, 1.68, -inf, 1.09, -inf, 1.78, -inf, 1.67, -inf, 1.45, -inf, 1.64]"
2024-12-06 09:30:57.071641,g27.5_s0_r1,"[-19.84648323059082, -1000.0, -19.86505889892578, -1000.0, -20.027320861816406, -1000.0, -19.86256217956543, -1000.0, -1000.0, -19.84740447998047, -1000.0, -1000.0, -19.719249725341797, -1000.0, -19.841999053955078, -1000.0, -19.888729095458984, -1000.0, -1000.0, -1000.0, -19.91505241394043, -1000.0, -1000.0, -1000.0, -19.836973190307617, -1000.0, -19.607288360595703, -1000.0, -1000.0, -1000.0, -19.577919006347656, -1000.0, -19.651582717895508, -1000.0, -19.613265991210938, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -19.50104331970215, -1000.0, -19.751293182373047, -1000.0, -19.58615493774414, -1000.0, -1000.0, -1000.0, -19.66253662109375, -1000.0, -19.668060302734375, -1000.0, -1000.0, -1000.0, -1000.0, -19.495792388916016, -1000.0, -19.602787017822266, -1000.0, -19.693761825561523, -1000.0, -19.757848739624023, -1000.0, -19.83057403564453, -1000.0, -19.477277755737305, -1000.0, -19.734214782714844, -1000.0, -19.511432647705078, -1000.0, -19.40683364868164, -1000.0, -19.90143585205078, -1000.0, -19.941633224487305, -1000.0, -20.10226821899414]",-3.6,20.8,24.4,"[4.62, -inf, 4.55, -inf, 4.41, -inf, 4.06, -inf, -inf, 4.01, -inf, -inf, 3.51, -inf, 3.86, -inf, 3.46, -inf, -inf, -inf, 3.46, -inf, -inf, -inf, 3.53, -inf, 4.25, -inf, -inf, -inf, 4.14, -inf, 4.33, -inf, 4.34, -inf, -inf, -inf, -inf, -inf, -inf, -inf, 4.24, -inf, 4.04, -inf, 4.57, -inf, -inf, -inf, 4.66, -inf, 4.25, -inf, -inf, -inf, -inf, 4.55, -inf, 4.52, -inf, 3.59, -inf, 3.35, -inf, 4.36, -inf, 3.75, -inf, 4.44, -inf, 3.84, -inf, 4.49, -inf, 4.42, -inf, 4.18, -inf, 4.38]"
2024-12-06 09:30:57.074045,g29.0_s0_r1,"[-19.84648323059082, -1000.0, -19.86505889892578, -1000.0, -20.027320861816406, -1000.0, -19.86256217956543, -1000.0, -1000.0, -19.84740447998047, -1000.0, -1000.0, -19.719249725341797, -1000.0, -19.841999053955078, -1000.0, -19.888729095458984, -1000.0, -1000.0, -1000.0, -19.91505241394043, -1000.0, -1000.0, -1000.0, -19.836973190307617, -1000.0, -19.607288360595703, -1000.0, -1000.0, -1000.0, -19.577919006347656, -1000.0, -19.651582717895508, -1000.0, -19.613265991210938, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -19.50104331970215, -1000.0, -19.751293182373047, -1000.0, -19.58615493774414, -1000.0, -1000.0, -1000.0, -19.66253662109375, -1000.0, -19.668060302734375, -1000.0, -1000.0, -1000.0, -1000.0, -19.495792388916016, -1000.0, -19.602787017822266, -1000.0, -19.693761825561523, -1000.0, -19.757848739624023, -1000.0, -19.83057403564453, -1000.0, -19.477277755737305, -1000.0, -19.734214782714844, -1000.0, -19.511432647705078, -1000.0, -19.40683364868164, -1000.0, -19.90143585205078, -1000.0, -19.941633224487305, -1000.0, -20.10226821899414]",-3.6,20.9,24.3,"[4.61, -inf, 4.42, -inf, 4.39, -inf, 4.04, -inf, -inf, 3.98, -inf, -inf, 3.48, -inf, 3.82, -inf, 3.41, -inf, -inf, -inf, 3.48, -inf, -inf, -inf, 3.52, -inf, 4.23, -inf, -inf, -inf, 4.16, -inf, 4.29, -inf, 4.32, -inf, -inf, -inf, -inf, -inf, -inf, -inf, 4.21, -inf, 4.02, -inf, 4.57, -inf, -inf, -inf, 4.62, -inf, 4.26, -inf, -inf, -inf, -inf, 4.53, -inf, 4.47, -inf, 3.55, -inf, 3.36, -inf, 4.36, -inf, 3.77, -inf, 4.42, -inf, 3.83, -inf, 4.46, -inf, 4.4, -inf, 4.17, -inf, 4.35]"
2024-12-06 09:30:57.075883,g30.5_s0_r1,"[-19.84648323059082, -1000.0, -19.86505889892578, -1000.0, -20.027320861816406, -1000.0, -19.86256217956543, -1000.0, -1000.0, -19.84740447998047, -1000.0, -1000.0, -19.719249725341797, -1000.0, -19.841999053955078, -1000.0, -19.888729095458984, -1000.0, -1000.0, -1000.0, -19.91505241394043, -1000.0, -1000.0, -1000.0, -19.836973190307617, -1000.0, -19.607288360595703, -1000.0, -1000.0, -1000.0, -19.577919006347656, -1000.0, -19.651582717895508, -1000.0, -19.613265991210938, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -19.50104331970215, -1000.0, -19.751293182373047, -1000.0, -19.58615493774414, -1000.0, -1000.0, -1000.0, -19.66253662109375, -1000.0, -19.668060302734375, -1000.0, -1000.0, -1000.0, -1000.0, -19.495792388916016, -1000.0, -19.602787017822266, -1000.0, -19.693761825561523, -1000.0, -19.757848739624023, -1000.0, -19.83057403564453, -1000.0, -19.477277755737305, -1000.0, -19.734214782714844, -1000.0, -19.511432647705078, -1000.0, -19.40683364868164, -1000.0, -19.90143585205078, -1000.0, -19.941633224487305, -1000.0, -20.10226821899414]",-3.6,20.8,24.3,"[4.63, -inf, 4.41, -inf, 4.42, -inf, 4.04, -inf, -inf, 3.99, -inf, -inf, 3.49, -inf, 3.73, -inf, 3.4, -inf, -inf, -inf, 3.46, -inf, -inf, -inf, 3.54, -inf, 4.24, -inf, -inf, -inf, 4.18, -inf, 4.33, -inf, 4.36, -inf, -inf, -inf, -inf, -inf, -inf, -inf, 4.2, -inf, 4.03, -inf, 4.58, -inf, -inf, -inf, 4.63, -inf, 4.29, -inf, -inf, -inf, -inf, 4.56, -inf, 4.48, -inf, 3.56, -inf, 3.38, -inf, 4.39, -inf, 3.81, -inf, 4.42, -inf, 3.84, -inf, 4.49, -inf, 4.43, -inf, 4.21, -inf, 4.39]"
2024-12-06 09:30:57.076418,g32.0_s0_r1,"[-19.819826126098633, -1000.0, -19.91815948486328, -1000.0, -20.01200294494629, -1000.0, -19.861112594604492, -1000.0, -1000.0, -19.875741958618164, -1000.0, -1000.0, -19.696571350097656, -1000.0, -19.845748901367188, -1000.0, -19.879989624023438, -1000.0, -1000.0, -1000.0, -19.90604019165039, -1000.0, -1000.0, -1000.0, -19.82805633544922, -1000.0, -19.572675704956055, -1000.0, -1000.0, -1000.0, -19.601940155029297, -1000.0, -19.672222137451172, -1000.0, -19.640586853027344, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -19.506576538085938, -1000.0, -19.730792999267578, -1000.0, -19.594934463500977, -1000.0, -1000.0, -1000.0, -19.686687469482422, -1000.0, -19.67183494567871, -1000.0, -1000.0, -1000.0, -1000.0, -19.507022857666016, -1000.0, -19.611770629882812, -1000.0, -19.72049331665039, -1000.0, -19.779022216796875, -1000.0, -19.799057006835938, -1000.0, -19.486268997192383, -1000.0, -19.771728515625, -1000.0, -19.529769897460938, -1000.0, -19.40855598449707, -1000.0, -19.930376052856445, -1000.0, -19.956928253173828, -1000.0, -20.064104080200195]",-3.5,20.8,24.4,"[4.61, -inf, 4.41, -inf, 4.39, -inf, 4.02, -inf, -inf, 3.99, -inf, -inf, 3.47, -inf, 3.79, -inf, 3.41, -inf, -inf, -inf, 3.48, -inf, -inf, -inf, 3.5, -inf, 4.23, -inf, -inf, -inf, 4.18, -inf, 4.31, -inf, 4.31, -inf, -inf, -inf, -inf, -inf, -inf, -inf, 4.24, -inf, 4.0, -inf, 4.58, -inf, -inf, -inf, 4.64, -inf, 4.24, -inf, -inf, -inf, -inf, 4.55, -inf, 4.45, -inf, 3.53, -inf, 3.34, -inf, 4.38, -inf, 3.77, -inf, 4.46, -inf, 3.83, -inf, 4.5, -inf, 4.46, -inf, 4.17, -inf, 4.37]"
2024-12-06 09:30:57.078151,g33.5_s0_r1,"[-19.819826126098633, -1000.0, -19.91815948486328, -1000.0, -20.01200294494629, -1000.0, -19.861112594604492, -1000.0, -1000.0, -19.875741958618164, -1000.0, -1000.0, -19.696571350097656, -1000.0, -19.845748901367188, -1000.0, -19.879989624023438, -1000.0, -1000.0, -1000.0, -19.90604019165039, -1000.0, -1000.0, -1000.0, -19.82805633544922, -1000.0, -19.572675704956055, -1000.0, -1000.0, -1000.0, -19.601940155029297, -1000.0, -19.672222137451172, -1000.0, -19.640586853027344, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -19.506576538085938, -1000.0, -19.730792999267578, -1000.0, -19.594934463500977, -1000.0, -1000.0, -1000.0, -19.686687469482422, -1000.0, -19.67183494567871, -1000.0, -1000.0, -1000.0, -1000.0, -19.507022857666016, -1000.0, -19.611770629882812, -1000.0, -19.72049331665039, -1000.0, -19.779022216796875, -1000.0, -19.799057006835938, -1000.0, -19.486268997192383, -1000.0, -19.771728515625, -1000.0, -19.529769897460938, -1000.0, -19.40855598449707, -1000.0, -19.930376052856445, -1000.0, -19.956928253173828, -1000.0, -20.064104080200195]",-3.6,20.7,24.3,"[4.62, -inf, 4.96, -inf, 4.4, -inf, 4.01, -inf, -inf, 4.0, -inf, -inf, 3.47, -inf, 3.77, -inf, 3.41, -inf, -inf, -inf, 3.48, -inf, -inf, -inf, 3.54, -inf, 4.25, -inf, -inf, -inf, 4.18, -inf, 4.31, -inf, 4.31, -inf, -inf, -inf, -inf, -inf, -inf, -inf, 4.21, -inf, 3.99, -inf, 4.6, -inf, -inf, -inf, 4.63, -inf, 4.26, -inf, -inf, -inf, -inf, 4.55, -inf, 4.45, -inf, 3.57, -inf, 3.34, -inf, 4.37, -inf, 3.82, -inf, 4.49, -inf, 3.9, -inf, 4.52, -inf, 4.48, -inf, 4.18, -inf, 4.4]"
2024-12-06 09:30:57.080983,g35.0_s0_r1,"[-19.819826126098633, -1000.0, -19.91815948486328, -1000.0, -20.01200294494629, -1000.0, -19.861112594604492, -1000.0, -1000.0, -19.875741958618164, -1000.0, -1000.0, -19.696571350097656, -1000.0, -19.845748901367188, -1000.0, -19.879989624023438, -1000.0, -1000.0, -1000.0, -19.90604019165039, -1000.0, -1000.0, -1000.0, -19.82805633544922, -1000.0, -19.572675704956055, -1000.0, -1000.0, -1000.0, -19.601940155029297, -1000.0, -19.672222137451172, -1000.0, -19.640586853027344, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -19.506576538085938, -1000.0, -19.730792999267578, -1000.0, -19.594934463500977, -1000.0, -1000.0, -1000.0, -19.686687469482422, -1000.0, -19.67183494567871, -1000.0, -1000.0, -1000.0, -1000.0, -19.507022857666016, -1000.0, -19.611770629882812, -1000.0, -19.72049331665039, -1000.0, -19.779022216796875, -1000.0, -19.799057006835938, -1000.0, -19.486268997192383, -1000.0, -19.771728515625, -1000.0, -19.529769897460938, -1000.0, -19.40855598449707, -1000.0, -19.930376052856445, -1000.0, -19.956928253173828, -1000.0, -20.064104080200195]",-3.5,20.8,24.3,"[4.58, -inf, 4.39, -inf, 4.35, -inf, 4.01, -inf, -inf, 3.92, -inf, -inf, 3.38, -inf, 3.69, -inf, 3.37, -inf, -inf, -inf, 3.43, -inf, -inf, -inf, 3.53, -inf, 4.23, -inf, -inf, -inf, 4.15, -inf, 4.31, -inf, 4.34, -inf, -inf, -inf, -inf, -inf, -inf, -inf, 4.22, -inf, 3.97, -inf, 4.59, -inf, -inf, -inf, 4.63, -inf, 4.23, -inf, -inf, -inf, -inf, 4.56, -inf, 4.42, -inf, 3.51, -inf, 3.33, -inf, 4.39, -inf, 3.82, -inf, 4.51, -inf, 3.88, -inf, 4.52, -inf, 4.48, -inf, 4.18, -inf, 4.38]"
2024-12-06 09:30:57.089105,g21.5_s1_r1,"[-21.8635311126709, -1000.0, -21.999364852905273, -1000.0, -22.04842185974121, -1000.0, -21.901817321777344, -1000.0, -1000.0, -21.895845413208008, -1000.0, -1000.0, -21.785812377929688, -1000.0, -21.886966705322266, -1000.0, -21.927383422851562, -1000.0, -1000.0, -1000.0, -21.894123077392578, -1000.0, -1000.0, -1000.0, -21.84756851196289, -1000.0, -21.61514663696289, -1000.0, -1000.0, -1000.0, -21.625595092773438, -1000.0, -21.675981521606445, -1000.0, -21.673908233642578, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -21.562171936035156, -1000.0, -21.755733489990234, -1000.0, -21.609249114990234, -1000.0, -1000.0, -1000.0, -21.647104263305664, -1000.0, -21.6135196685791, -1000.0, -1000.0, -1000.0, -1000.0, -21.51815414428711, -1000.0, -21.621841430664062, -1000.0, -21.736377716064453, -1000.0, -21.762157440185547, -1000.0, -21.826265335083008, -1000.0, -21.49394416809082, -1000.0, -21.786285400390625, -1000.0, -21.601856231689453, -1000.0, -21.402332305908203, -1000.0, -21.917436599731445, -1000.0, -21.99712371826172, -1000.0, -22.152881622314453]",-5.6,16.1,21.6,"[-0.42, -inf, -0.56, -inf, -0.67, -inf, -1.01, -inf, -inf, -1.06, -inf, -inf, -1.51, -inf, -1.19, -inf, -1.53, -inf, -inf, -inf, -1.38, -inf, -inf, -inf, -1.31, -inf, -0.54, -inf, -inf, -inf, -0.59, -inf, -0.41, -inf, -0.42, -inf, -inf, -inf, -inf, -inf, -inf, -inf, -0.59, -inf, -0.83, -inf, -0.19, -inf, -inf, -inf, -0.09, -inf, -0.43, -inf, -inf, -inf, -inf, -0.07, -inf, -0.19, -inf, -1.11, -inf, -1.26, -inf, -0.2, -inf, -0.79, -inf, -0.1, -inf, -0.75, -inf, -0.05, -inf, -0.1, -inf, -0.49, -inf, -0.29]"
2024-12-06 09:30:57.092832,g23.0_s1_r1,"[-21.8635311126709, -1000.0, -21.999364852905273, -1000.0, -22.04842185974121, -1000.0, -21.901817321777344, -1000.0, -1000.0, -21.895845413208008, -1000.0, -1000.0, -21.785812377929688, -1000.0, -21.886966705322266, -1000.0, -21.927383422851562, -1000.0, -1000.0, -1000.0, -21.894123077392578, -1000.0, -1000.0, -1000.0, -21.84756851196289, -1000.0, -21.61514663696289, -1000.0, -1000.0, -1000.0, -21.625595092773438, -1000.0, -21.675981521606445, -1000.0, -21.673908233642578, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -1000.0, -21.562171936035156, -1000.0, -21.755733489990234, -1000.0, -21.609249114990234, -1000.0, -1000.0, -1000.0, -21.647104263305664, -1000.0, -21.6135196685791, -1000.0, -1000.0, -1000.0, -1000.0, -21.51815414428711, -1000.0, -21.621841430664062, -1000.0, -21.736377716064453, -1000.0, -21.762157440185547, -1000.0, -21.826265335083008, -1000.0, -21.49394416809082, -1000.0, -21.786285400390625, -1000.0, -21.601856231689453, -1000.0, -21.402332305908203, -1000.0, -21.917436599731445, -1000.0, -21.99712371826172, -1000.0, -22.152881622314453]",-5.6,17.6,23.1,"[1.1, -inf, 0.94, -inf, 0.9, -inf, 0.57, -inf, -inf, 0.49, -inf, -inf, 0.04, -inf, 0.36, -inf, -0.06, -inf, -inf, -inf, 0.19, -inf, -inf, -inf, 0.23, -inf, 1.02, -inf, -inf, -inf, 0.92, -inf, 1.12, -inf, 1.13, -inf, -inf, -inf, -inf, -inf, -inf, -inf, 0.94, -inf, 0.65, -inf, 1.37, -inf, -inf, -inf, 1.43, -inf, 1.09, -inf, -inf, -inf, -inf, 1.41, -inf, 1.26, -inf, 0.39, -inf, 0.2, -inf, 1.24, -inf, 0.71, -inf, 1.42, -inf, 0.72, -inf, 1.4, -inf, 1.42, -inf, 0.97, -inf, 1.17]"
